County,RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day)
"2000_Kings County, New York City, NY",28.871,28.7407,34.7166,43.8053,53.2978,63.5194,69.7126,68.8013,61.732,51.0667,41.2103,32.0638,41.2162,43.1669,49.3195,60.696,70.5836,80.1763,86.0669,83.8487,77.0849,66.4846,55.1883,44.4113,0.103881,0.107256,0.146166,0.143598,0.124201,0.106885,0.140156,0.145607,0.130967,0.0959789,0.144803,0.117091
"2000_Los Angeles County, Los Angeles, CA",39.5466,41.1485,44.0561,46.6738,52.4708,57.4145,63.3999,63.6722,60.0975,52.7542,44.4327,39.65,60.3968,62.2036,65.7479,70.4495,76.9933,84.3896,90.4341,90.5525,86.3583,77.5684,67.4537,60.2298,0.0918893,0.131281,0.104026,0.0381163,0.00716866,0.00245257,0.00174025,0.00811192,0.0117949,0.0209809,0.054618,0.0903855
"2000_Cook County, Chicago, IL",18.0989,20.8914,29.0886,39.7135,50.0104,59.7979,64.8927,64.0372,55.9414,45.0767,33.0971,22.8042,33.0029,36.4397,45.3515,59.8714,71.0129,80.93,84.998,83.4989,76.347,64.6952,49.2707,37.1382,0.0635983,0.0622683,0.0763688,0.132577,0.118484,0.125443,0.120688,0.0996766,0.104941,0.0886431,0.110311,0.077119
"2000_Harris Country, Houston, TX",43.7666,45.6288,51.8881,60.6435,67.0865,72.8223,74.4293,74.2495,69.9926,61.0514,51.8714,44.7997,63.6297,65.4812,72.4791,79.5327,85.3486,90.92,94.0758,94.4775,89.857,82.6182,72.0517,65.4397,0.100107,0.136289,0.0864636,0.0904417,0.153697,0.19755,0.105516,0.111737,0.153187,0.112215,0.160008,0.137905
"2000_Philadelphia County, Philadelphia, PA",27.6463,27.5582,34.0265,43.1045,52.8729,62.6924,68.2142,67.1216,59.7066,48.6203,38.7225,30.2059,42.5355,44.7579,51.8342,64.1442,74.0783,83.4433,88.3581,85.875,79.0268,68.2566,56.4406,45.5023,0.104485,0.103458,0.138349,0.135713,0.123805,0.11419,0.142457,0.148814,0.139039,0.0953708,0.133698,0.116417
"2000_Maricopa Country, Phoenix, AZ",38.6055,41.3833,46.8401,52.0483,60.8703,68.7065,76.5371,76.0411,69.8399,58.0848,45.2385,38.3539,66.5018,70.2249,76.5196,84.6566,93.5847,102.56,105.534,103.158,98.8689,88.1482,74.6807,65.4157,0.0290136,0.0291733,0.0405362,0.0084656,0.00498338,0.00319184,0.0315553,0.0489617,0.0296751,0.0290295,0.0213546,0.0521461
"2000_Bexar County, San Antonio, TX",40.8103,43.1647,50.2152,59.4902,65.718,71.6542,73.1525,72.8434,68.6998,60.0402,49.7,41.9777,64.1953,66.6609,74.9764,81.9339,86.7097,92.9738,96.3359,96.4972,90.8792,83.7079,72.279,65.7608,0.0441583,0.0852736,0.0482913,0.0714295,0.131005,0.11204,0.0468647,0.0714172,0.0948612,0.0912446,0.0910493,0.0612628
"2000_San Diego County, San Diego, CA",39.1817,40.5698,43.2667,45.6887,50.8718,55.0934,61.5509,62.6482,59.4787,51.6009,43.7968,39.1491,63.5217,64.8935,67.1175,72.8256,79.3526,86.7367,91.7601,92.0202,88.8095,80.281,70.3713,63.5147,0.0786401,0.0916359,0.0947671,0.0325203,0.00843151,0.00347404,0.00893287,0.0136758,0.0132524,0.0233605,0.0457695,0.0848768
"2000_Dallas County, Dallas, TX",35.7481,38.233,45.6879,55.6785,63.4109,70.8975,74.735,74.3471,67.5023,56.6708,45.3293,37.1653,57.6597,59.9069,68.6693,77.9708,83.7151,91.7096,97.2218,97.8389,90.5051,80.2855,66.8736,58.9207,0.0555943,0.11109,0.0962367,0.109746,0.168064,0.10963,0.0619709,0.058683,0.0867129,0.133717,0.102094,0.101876
"2000_Marion County, Indianapolis, IN",21.222,22.8208,30.6729,41.3946,52.1952,61.4318,64.91,63.3088,55.602,44.1061,33.6972,24.6805,37.1252,40.5991,49.4111,63.7918,74.0474,82.9294,86.3697,85.2243,79.3059,67.3942,52.2711,40.4846,0.0896552,0.099596,0.0999293,0.119041,0.143582,0.130018,0.130057,0.0935469,0.105563,0.0847731,0.128627,0.0929988
"2000_Duval County, Jacksonville",45.1095,47.4618,51.7547,57.8093,65.2867,71.6924,73.8288,73.9496,72.0492,63.6585,54.0147,48.0332,66.5772,68.74,73.8872,80.0722,86.3479,90.077,92.3546,91.4339,88.0732,81.3767,74.1312,68.4523,0.100971,0.114157,0.112762,0.0737895,0.0972413,0.193254,0.190518,0.200594,0.252231,0.139456,0.0534706,0.0910118
"2000_San Francisco County, San Francisco CA",44.9825,47.0295,48.4915,48.8996,51.4739,53.0491,54.2543,55.3858,55.878,53.6514,49.6648,45.2392,56.8122,60.2226,62.2009,63.7395,65.7311,68.0011,67.8292,68.423,71.5509,69.46,64.0846,57.6485,0.172083,0.156123,0.109718,0.0473744,0.0150235,0.0043494,0.000915651,0.00141215,0.00730633,0.0338685,0.0952926,0.14332
"2000_Franklin County, Columbus, OH",22.6009,23.7945,30.7049,40.3149,51.0812,59.9871,63.6526,62.1615,54.8601,43.6943,34.1373,25.8039,38.7209,41.563,50.3359,64.2187,74.4074,82.7674,86.0402,85.0358,79.0036,67.5983,53.0674,41.3639,0.0911485,0.0906391,0.0950935,0.115686,0.138645,0.12653,0.12745,0.101326,0.101139,0.0744142,0.112082,0.0860014
"2000_Mecklenburg County, Charlotte, NC",32.3901,33.7542,39.5133,47.7967,57.4307,65.5092,69.1279,68.4665,62.403,50.887,39.9585,33.6844,53.4751,56.5527,63.1842,74.1228,81.5087,87.5795,91.083,89.9532,83.4402,73.9646,63.7104,54.9752,0.117119,0.138439,0.143802,0.0943756,0.108874,0.131427,0.135265,0.124642,0.138542,0.119224,0.110015,0.115589
